date,icao,lat,lon,temperature,weather_type
2022-12-07,EG-0006,30.329104,32.266932,,
2022-12-08,EG-0006,30.329104,32.266932,,
2022-12-09,EG-0006,30.329104,32.266932,,
2022-12-10,EG-0006,30.329104,32.266932,,
2022-12-11,EG-0006,30.329104,32.266932,,
2022-12-12,EG-0006,30.329104,32.266932,,
2022-12-13,EG-0006,30.329104,32.266932,,
2022-12-14,EG-0006,30.329104,32.266932,,
2022-12-15,EG-0006,30.329104,32.266932,,
2022-12-16,EG-0006,30.329104,32.266932,,
2022-12-17,EG-0006,30.329104,32.266932,,
2022-12-18,EG-0006,30.329104,32.266932,,
2022-12-19,EG-0006,30.329104,32.266932,,
2022-12-20,EG-0006,30.329104,32.266932,,
2022-12-21,EG-0006,30.329104,32.266932,,
2022-12-22,EG-0006,30.329104,32.266932,,
2022-12-23,EG-0006,30.329104,32.266932,,
2022-12-24,EG-0006,30.329104,32.266932,,
2022-12-25,EG-0006,30.329104,32.266932,,
2022-12-26,EG-0006,30.329104,32.266932,,
2022-12-27,EG-0006,30.329104,32.266932,,
2022-12-28,EG-0006,30.329104,32.266932,,
2022-12-29,EG-0006,30.329104,32.266932,,
2022-12-30,EG-0006,30.329104,32.266932,,
2022-12-31,EG-0006,30.329104,32.266932,,
2023-01-01,EG-0006,30.329104,32.266932,,
2023-01-02,EG-0006,30.329104,32.266932,,
2023-01-03,EG-0006,30.329104,32.266932,,
2023-01-04,EG-0006,30.329104,32.266932,,
2023-01-05,EG-0006,30.329104,32.266932,,
2023-01-06,EG-0006,30.329104,32.266932,,
2023-01-07,EG-0006,30.329104,32.266932,,
2023-01-08,EG-0006,30.329104,32.266932,,
2023-01-09,EG-0006,30.329104,32.266932,,
2023-01-10,EG-0006,30.329104,32.266932,,
2023-01-11,EG-0006,30.329104,32.266932,,
2023-01-12,EG-0006,30.329104,32.266932,,
2023-01-13,EG-0006,30.329104,32.266932,,
2023-01-14,EG-0006,30.329104,32.266932,,
2023-01-15,EG-0006,30.329104,32.266932,,
2023-01-16,EG-0006,30.329104,32.266932,,
2023-01-17,EG-0006,30.329104,32.266932,,
2023-01-18,EG-0006,30.329104,32.266932,,
2023-01-19,EG-0006,30.329104,32.266932,,
2023-01-20,EG-0006,30.329104,32.266932,,
2023-01-21,EG-0006,30.329104,32.266932,,
2023-01-22,EG-0006,30.329104,32.266932,,
2023-01-23,EG-0006,30.329104,32.266932,,
2023-01-24,EG-0006,30.329104,32.266932,,
2023-01-25,EG-0006,30.329104,32.266932,,
2023-01-26,EG-0006,30.329104,32.266932,,
2023-01-27,EG-0006,30.329104,32.266932,,
2023-01-28,EG-0006,30.329104,32.266932,,
2023-01-29,EG-0006,30.329104,32.266932,,
2023-01-30,EG-0006,30.329104,32.266932,,
2023-01-31,EG-0006,30.329104,32.266932,,
2023-02-01,EG-0006,30.329104,32.266932,,
2023-02-02,EG-0006,30.329104,32.266932,,
2023-02-03,EG-0006,30.329104,32.266932,,
2023-02-04,EG-0006,30.329104,32.266932,,
2023-02-05,EG-0006,30.329104,32.266932,,
2023-02-06,EG-0006,30.329104,32.266932,,
2023-02-07,EG-0006,30.329104,32.266932,,
