src_id,station_name,station_file_name,historic_county,station_latitude,station_longitude,station_elevation,first_year,last_year,file_location_temp,file_location_weather,file_location_precip
1541,LOUGH BRADAN W WKS,lough-bradan-w-wks,tyrone,54.598,-7.602,180,1987,1998,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01541_lough-bradan-w-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01541_lough-bradan-w-wks\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01541_lough-bradan-w-wks\qc-version-1
1542,LOUGH BRADAN,lough-bradan,tyrone,54.6,-7.6,169,1976,1984,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01542_lough-bradan\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01542_lough-bradan\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01542_lough-bradan\qc-version-1
1543,CASTLEDERG,castlederg,tyrone,54.707,-7.577,49,1995,1997,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01543_castlederg\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01543_castlederg\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01543_castlederg\qc-version-1
1544,BARONS COURT,barons-court,tyrone,54.696,-7.423,132,1985,2004,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01544_barons-court\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01544_barons-court\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01544_barons-court\qc-version-1
1545,BARONS COURT FOREST,barons-court-forest,tyrone,54.705,-7.441,88,1961,1973,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01545_barons-court-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01545_barons-court-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01545_barons-court-forest\qc-version-1
1546,"STRABANE, GLEN ROAD",strabane-glen-road,tyrone,54.829,-7.451,60,1985,1994,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01546_strabane-glen-road\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01546_strabane-glen-road\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01546_strabane-glen-road\qc-version-1
1547,STRABANE,strabane,tyrone,54.823,-7.453,44,1976,1983,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01547_strabane\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01547_strabane\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01547_strabane\qc-version-1
1548,TIEVENNY,tievenny,tyrone,54.724,-7.496,41,1979,1981,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01548_tievenny\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01548_tievenny\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01548_tievenny\qc-version-1
1549,CARRIGANS,carrigans,tyrone,54.675,-7.326,113,1963,1992,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01549_carrigans\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01549_carrigans\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01549_carrigans\qc-version-1
1550,LISLAP FOREST,lislap-forest,tyrone,54.686,-7.249,209,1961,1973,D:\Github\Weather_Scraper\Raw_Data\Temperature_Daily\dataset-version-202207\tyrone\01550_lislap-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Weather_Daily\dataset-version-202207\tyrone\01550_lislap-forest\qc-version-1,D:\Github\Weather_Scraper\Raw_Data\Precipitation_Daily\dataset-version-202207\tyrone\01550_lislap-forest\qc-version-1
