date,station_name,station_latitude,station_longitude,weather_classifier,temp_category,sunshine_type
1900-04-22,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-04-23,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
1900-04-23,CHELTENHAM,51.895,-2.08,Drizzle,Mild,Sunny
1900-04-24,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-04-24,CHELTENHAM,51.895,-2.08,Dry,Cool,Partially Overcast
1900-04-25,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-04-25,CHELTENHAM,51.895,-2.08,Dry,Cool,Sunny
1900-04-26,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-04-26,CHELTENHAM,51.895,-2.08,Dry,Cool,Partially Overcast
1900-04-27,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-04-27,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-04-28,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-04-28,CHELTENHAM,51.895,-2.08,Dry,Cool,Partially Overcast
1900-04-29,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-04-29,CHELTENHAM,51.895,-2.08,Dry,Mild,Partially Overcast
1900-04-30,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-04-30,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-05-01,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-01,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-02,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-05-02,CHELTENHAM,51.895,-2.08,Mild Rain,Cool,Sunny
1900-05-03,CHELTENHAM,51.895,-2.08,Mild Rain,,Sunny
1900-05-03,CHELTENHAM,51.895,-2.08,Mild Rain,Mild,Sunny
1900-05-04,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-04,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-05,CHELTENHAM,51.895,-2.08,Drizzle,,Partially Overcast
1900-05-05,CHELTENHAM,51.895,-2.08,Drizzle,Cool,Partially Overcast
1900-05-06,CHELTENHAM,51.895,-2.08,Heavy Rain,,Sunny
1900-05-06,CHELTENHAM,51.895,-2.08,Heavy Rain,Mild,Sunny
1900-05-07,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-07,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-08,CHELTENHAM,51.895,-2.08,Mild Rain,,Partially Overcast
1900-05-08,CHELTENHAM,51.895,-2.08,Mild Rain,Cool,Partially Overcast
1900-05-09,CHELTENHAM,51.895,-2.08,Heavy Rain,,Partially Overcast
1900-05-09,CHELTENHAM,51.895,-2.08,Heavy Rain,Cool,Partially Overcast
1900-05-10,CHELTENHAM,51.895,-2.08,Dry,,Sunny
1900-05-10,CHELTENHAM,51.895,-2.08,Dry,Mild,Sunny
1900-05-11,CHELTENHAM,51.895,-2.08,Dry,,Partially Overcast
1900-05-11,CHELTENHAM,51.895,-2.08,Dry,Cool,Partially Overcast
1900-05-12,CHELTENHAM,51.895,-2.08,Drizzle,,Sunny
